id,name,height,weight,type,description,image,hp,attack,defense,special-attack,special-defense,speed
21,Spearow,3,20,"['Normal', 'Flying']","It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",Spearow.png,40,60,30,31,31,70
22,Fearow,12,380,"['Normal', 'Flying']","With its huge and magnificent wings, it can keep aloftwithout ever having to land for rest.",Fearow.png,65,90,65,61,61,100
23,Ekans,20,69,['Poison'],"Moves silently and stealthily. Eats the eggs ofbirds, such as PIDGEY and SPEAROW, whole.",Ekans.png,35,60,44,40,54,55
24,Arbok,35,650,['Poison'],It is rumored that the ferocious warning markingson its belly differ from area to area.,Arbok.png,60,95,69,65,79,80
25,Pikachu,4,60,['Electric'],"When several of these Pokémon gather, theirelectricity could build and cause lightning storms.",Pikachu.png,35,55,40,50,50,90
26,Raichu,8,300,['Electric'],Its long tail serves as a ground to protect itself from its own high-voltage power.,Raichu.png,60,90,55,90,80,110
27,Sandshrew,6,120,['Ground'],Burrows deep underground in arid locationsfar from water. It only emerges to hunt for food.,Sandshrew.png,50,75,85,20,30,40
28,Sandslash,10,295,['Ground'],Curls up into a spiny ball when threatened. Itcan roll while curled up to attack or escape.,Sandslash.png,75,100,110,45,55,65
29,Nidoran-f,4,70,['Poison'],"Although small, its venomous barbs render thisPokémon dangerous. The female has smaller horns.",Nidoran-f.png,55,47,52,40,40,41
30,Nidorina,8,200,['Poison'],The female's horn develops slowly. Prefers physicalattacks such as clawing and biting.,Nidorina.png,70,62,67,55,55,56
31,Nidoqueen,13,600,"['Poison', 'Ground']",Its hard scales provide strong protection. Ituses its hefty bulk to execute powerful moves.,Nidoqueen.png,90,92,87,75,85,76
32,Nidoran-m,5,90,['Poison'],"Stiffens its ears to sense danger. The larger itshorns, the more powerful its secreted venom.",Nidoran-m.png,46,57,40,40,40,50
33,Nidorino,9,195,['Poison'],An aggressive Pokémon that is quick to attack.The horn on its head secretes a powerful venom.,Nidorino.png,61,72,57,55,55,65
34,Nidoking,14,620,"['Poison', 'Ground']","It uses its powerful tail in battle to smash,constrict, then break the prey's bones.",Nidoking.png,81,102,77,85,75,85
35,Clefairy,6,75,['Fairy'],Its magical and cute appeal has many admirers.It is rare and found only in certain areas.,Clefairy.png,70,45,48,60,65,35
36,Clefable,13,400,['Fairy'],A timid fairy Pokémon that is rarely seen. Itwill run and hide the moment it senses people.,Clefable.png,95,70,73,95,90,60
37,Vulpix,6,99,['Fire'],"At the time of birth, it has just one tail.The tail splits from its tip as it grows older.",Vulpix.png,38,41,40,50,65,65
38,Ninetales,11,199,['Fire'],Very smart and very vengeful. Grabbing one ofits many tails could result in a 1000-year curse.,Ninetales.png,73,76,75,81,100,100
39,Jigglypuff,5,55,"['Normal', 'Fairy']","When its huge eyes light up, it sings a mysteriouslysoothing melody that lulls its enemies to sleep.",Jigglypuff.png,115,45,20,45,25,20
40,Wigglytuff,10,120,"['Normal', 'Fairy']","The body is soft and rubbery. When angered, it willsuck in air and inflate itself to an enormous size.",Wigglytuff.png,140,70,45,85,50,45
41,Zubat,8,75,"['Poison', 'Flying']",Forms colonies in perpetually dark places. Usesultrasonic waves to identify and approach targets.,Zubat.png,40,45,35,30,40,55
42,Golbat,16,550,"['Poison', 'Flying']","Once it strikes, it will not stop draining energyfrom the victim even if it gets too heavy to fly.",Golbat.png,75,80,70,65,75,90
43,Oddish,5,54,"['Grass', 'Poison']","During the day, it keeps its face buried in theground. At night, it wanders around sowing its seeds.",Oddish.png,45,50,55,75,65,30
44,Gloom,8,86,"['Grass', 'Poison']",The fluid that oozes from its mouth isn't drool.It is a nectar that is used to attract prey.,Gloom.png,60,65,70,85,75,40
45,Vileplume,12,186,"['Grass', 'Poison']","It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",Vileplume.png,75,80,85,110,90,50
46,Paras,3,54,"['Bug', 'Grass']",Burrows to suck tree roots. The mushrooms on itsback grow by draw­ ing nutrients from the bug host.,Paras.png,35,70,55,45,55,25
47,Parasect,10,295,"['Bug', 'Grass']",A host-parasite pair in which the parasite mushroomhas taken over the host bug. Prefers damp places.,Parasect.png,60,95,80,60,80,30
48,Venonat,10,300,"['Bug', 'Poison']",Lives in the shadows of tall trees where iteats insects. It is attracted by light at night.,Venonat.png,60,55,50,40,55,45
49,Venomoth,15,125,"['Bug', 'Poison']",The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.,Venomoth.png,70,65,60,90,75,90
50,Diglett,2,8,['Ground'],Lives about one yard underground where it feeds onplant roots. It sometimes appears above ground.,Diglett.png,10,55,25,35,45,95
51,Dugtrio,7,333,['Ground'],A team of DIGLETT triplets. It triggers hugeearthquakes by burrowing 60 miles underground.,Dugtrio.png,35,100,50,50,70,120
52,Meowth,4,42,['Normal'],It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,Meowth.png,40,45,35,40,40,90
53,Persian,10,320,['Normal'],"Although its fur has many admirers, it is tough toraise as a pet because of its fickle meanness.",Persian.png,65,70,60,65,65,115
54,Psyduck,8,196,['Water'],"While lulling its enemies with its vacant look, thiswily Pokémon will use psychokinetic powers.",Psyduck.png,50,52,48,65,50,55
55,Golduck,17,766,['Water'],"Often seen swim­ ming elegantly by lake shores. Itis often mistaken for the Japanese monster, Kappa.",Golduck.png,80,82,78,95,80,85
56,Mankey,5,280,['Fighting'],Extremely quick to anger. It could be docile onemoment then thrashing away the next instant.,Mankey.png,40,80,35,35,45,70
57,Primeape,10,320,['Fighting'],Always furious and tenacious to boot. It will notabandon chasing its quarry until it is caught.,Primeape.png,65,105,60,60,70,95
58,Growlithe,7,190,['Fire'],Very protective of its territory. It will bark andbite to repel intruders from its space.,Growlithe.png,55,70,45,70,50,60
59,Arcanine,19,1550,['Fire'],A Pokémon that has been admired since the pastfor its beauty. It runs agilely as if on wings.,Arcanine.png,90,110,80,100,80,95
60,Poliwag,6,124,['Water'],Its newly grown legs prevent it from running. Itappears to prefer swimming than trying to stand.,Poliwag.png,40,50,40,40,40,90
61,Poliwhirl,10,200,['Water'],"Capable of living in or out of water. When outof water, it sweats to keep its body slimy.",Poliwhirl.png,65,65,65,50,50,90
62,Poliwrath,13,540,"['Water', 'Fighting']",An adept swimmer at both the front crawl and breaststroke. Easily overtakes the best human swimmers.,Poliwrath.png,90,95,95,70,90,70
63,Abra,9,195,['Psychic'],"Using its ability to read minds, it will identifyimpending danger and TELEPORT to safety.",Abra.png,25,20,15,105,55,90
64,Kadabra,13,565,['Psychic'],It emits special alpha waves from its body thatinduce headaches just by being close by.,Kadabra.png,40,35,30,120,70,105
65,Alakazam,15,480,['Psychic'],"Its brain can out­ perform a super­ computer.Its intelligence quotient is said to be 5,000.",Alakazam.png,55,50,45,135,95,120
66,Machop,8,195,['Fighting'],Loves to build its muscles. It trains in allstyles of martial arts to become even stronger.,Machop.png,70,80,50,35,35,35
67,Machoke,15,705,['Fighting'],"Its muscular body is so powerful, it must wear a powersave belt to be able to regulate its motions.",Machoke.png,80,100,70,50,60,45
68,Machamp,16,1300,['Fighting'],"Using its heavy muscles, it throws powerful punchesthat can send the victim clear over the horizon.",Machamp.png,90,130,80,65,85,55
69,Bellsprout,7,40,"['Grass', 'Poison']",A carnivorous Pokémon that traps and eats bugs.It uses its root feet to soak up needed moisture.,Bellsprout.png,50,75,35,70,30,40
70,Weepinbell,10,64,"['Grass', 'Poison']",It spits out POISONPOWDER to immobilize theenemy and then finishes it with a spray of ACID.,Weepinbell.png,65,90,50,85,45,55
71,Victreebel,17,155,"['Grass', 'Poison']","Said to live in huge colonies deep in jungles,although no one has ever returned from there.",Victreebel.png,80,105,65,100,70,70
72,Tentacool,9,455,"['Water', 'Poison']",Drifts in shallow seas. Anglers who hook them byaccident are often punished by its stinging acid.,Tentacool.png,40,40,35,50,100,70
73,Tentacruel,16,550,"['Water', 'Poison']","The tentacles are normally kept short. On hunts,they are extended to ensnare and immobilize prey.",Tentacruel.png,80,70,65,80,120,100
74,Geodude,4,200,"['Rock', 'Ground']","Found in fields and mountains. Mistaking themfor boulders, people often step or trip on them.",Geodude.png,40,80,100,30,30,20
75,Graveler,10,1050,"['Rock', 'Ground']",Rolls down slopes to move. It rolls over any obstaclewithout slowing or changing its direction.,Graveler.png,55,95,115,45,45,35
76,Golem,14,3000,"['Rock', 'Ground']",Its boulder-like body is extremely hard. It caneasily withstand dynamite blasts without damage.,Golem.png,80,120,130,55,65,45
77,Ponyta,10,300,['Fire'],Its hooves are 10 times harder than diamonds. It cantrample anything completely flat in little time.,Ponyta.png,50,85,55,65,65,90
78,Rapidash,17,950,['Fire'],"Very competitive, this Pokémon will chase anythingthat moves fast in the hopes of racing it.",Rapidash.png,65,100,70,80,80,105
79,Slowpoke,12,360,"['Water', 'Psychic']",Incredibly slow and dopey. It takes 5 secondsfor it to feel pain when under attack.,Slowpoke.png,90,65,65,40,40,15
80,Slowbro,16,785,"['Water', 'Psychic']",The SHELLDER that is latched onto SLOWPOKE's tailis said to feed on the host's left over scraps.,Slowbro.png,95,75,110,100,80,30
81,Magnemite,3,60,"['Electric', 'Steel']",Uses anti-gravity to stay suspended. Appears withoutwarning and uses THUNDER WAVE and similar moves.,Magnemite.png,25,35,70,95,55,45
82,Magneton,10,600,"['Electric', 'Steel']",Formed by several MAGNEMITEs linked together. Theyfrequently appear when sunspots flare up.,Magneton.png,50,60,95,120,70,70
83,Farfetchd,8,150,"['Normal', 'Flying']",The sprig of green onions it holds is itsweapon. It is used much like a metal sword.,Farfetchd.png,52,90,55,58,62,60
84,Doduo,14,392,"['Normal', 'Flying']",A bird that makes up for its poor flying with itsfast foot speed. Leaves giant footprints.,Doduo.png,35,85,45,35,35,75
85,Dodrio,18,852,"['Normal', 'Flying']","Uses its three brains to execute complex plans.While two heads sleep, one head stays awake.",Dodrio.png,60,110,70,60,60,110
86,Seel,11,900,['Water'],The protruding horn on its head is very hard.It is used for bashing through thick ice.,Seel.png,65,45,55,45,70,45
87,Dewgong,17,1200,"['Water', 'Ice']",Stores thermal energy in its body. Swims at asteady 8 knots even in intensely cold waters.,Dewgong.png,90,70,80,70,95,70
88,Grimer,9,300,['Poison'],Appears in filthy areas. Thrives by sucking uppolluted sludge that is pumped out of factories.,Grimer.png,80,80,50,40,50,25
89,Muk,12,300,['Poison'],"Thickly covered with a filthy, vile sludge. Itis so toxic, even its footprints contain poison.",Muk.png,105,105,75,65,100,50
90,Shellder,3,40,['Water'],Its hard shell repels any kind of attack.It is vulnerable only when its shell is open.,Shellder.png,30,65,100,45,25,40
91,Cloyster,15,1325,"['Water', 'Ice']","When attacked, it launches its horns in quickvolleys. Its innards have never been seen.",Cloyster.png,50,95,180,85,45,70
92,Gastly,13,1,"['Ghost', 'Poison']","Almost invisible, this gaseous Pokémon cloaksthe target and puts it to sleep without notice.",Gastly.png,30,35,30,100,35,80
93,Haunter,16,1,"['Ghost', 'Poison']","Because of its ability to slip through blockwalls, it is said to be from an­ other dimension.",Haunter.png,45,50,45,115,55,95
94,Gengar,15,405,"['Ghost', 'Poison']","Under a full moon, this Pokémon likes to mimicthe shadows of people and laugh at their fright.",Gengar.png,60,65,60,130,75,110
95,Onix,88,2100,"['Rock', 'Ground']","As it grows, the stone portions of its body hardento become similar to a diamond, but colored black.",Onix.png,35,45,160,30,45,70
96,Drowzee,10,324,['Psychic'],Puts enemies to sleep then eats their dreams.Occasionally gets sick from eating bad dreams.,Drowzee.png,60,48,45,43,90,42
97,Hypno,16,756,['Psychic'],"When it locks eyes with an enemy, it will use a mix ofPSI moves such as HYPNOSIS and CONFUSION.",Hypno.png,85,73,70,73,115,67
98,Krabby,4,65,['Water'],"Its pincers are not only powerful weapons, they areused for balance when walking sideways.",Krabby.png,30,105,90,25,25,50
99,Kingler,13,600,['Water'],"The large pincer has 10000 hp of crushing power.However, its huge size makes it unwieldy to use.",Kingler.png,55,130,115,50,50,75
100,Voltorb,5,104,['Electric'],"Usually found in power plants. Easily mistakenfor a POKé BALL, they have zapped many people.",Voltorb.png,40,30,50,55,55,100
101,Electrode,12,666,['Electric'],It stores electric energy under very high pressure.It often explodes with little or no provocation.,Electrode.png,60,50,70,80,80,150
102,Exeggcute,4,25,"['Grass', 'Psychic']","Often mistaken for eggs. When disturbed,they quickly gather and attack in swarms.",Exeggcute.png,60,40,80,60,45,40
103,Exeggutor,20,1200,"['Grass', 'Psychic']","Legend has it that on rare occasions, one of its headswill drop off and continue on as an EXEGGCUTE.",Exeggutor.png,95,95,85,125,75,55
104,Cubone,4,65,['Ground'],"Because it never removes its skull helmet, no onehas ever seen this Pokémon's real face.",Cubone.png,50,50,95,40,50,35
105,Marowak,10,450,['Ground'],The bone it holds is its key weapon. It throws thebone skillfully like a boomerang to KO targets.,Marowak.png,60,80,110,50,80,45
106,Hitmonlee,15,498,['Fighting'],"When in a hurry, its legs lengthen progressively.It runs smoothly with extra long, loping strides.",Hitmonlee.png,50,120,53,35,110,87
107,Hitmonchan,14,502,['Fighting'],"While apparently doing nothing, it fires punches inlightning fast volleys that are impossible to see.",Hitmonchan.png,50,105,79,35,110,76
108,Lickitung,12,655,['Normal'],Its tongue can be extended like a chameleon's. Itleaves a tingling sensation when it licks enemies.,Lickitung.png,90,55,75,60,75,30
109,Koffing,6,10,['Poison'],"Because it stores several kinds of toxic gases inits body, it is prone to exploding without warning.",Koffing.png,40,65,95,60,45,35
110,Weezing,12,95,['Poison'],"Where two kinds of poison gases meet, 2 KOFFINGscan fuse into a WEEZING over many years.",Weezing.png,65,90,120,85,70,60
111,Rhyhorn,10,1150,"['Ground', 'Rock']","A Pokémon with a one-track mind. Once it charges, it won't stop running until it falls asleep.",Rhyhorn.png,80,85,95,30,30,25
112,Rhydon,19,1200,"['Ground', 'Rock']","Protected by an armor-like hide, it is capable ofliving in molten lava of 3,600 degrees.",Rhydon.png,105,130,120,45,45,40
113,Chansey,11,346,['Normal'],A rare and elusive Pokémon that is said to bringhappiness to those who manage to get it.,Chansey.png,250,5,5,35,105,50
114,Tangela,10,350,['Grass'],The whole body is swathed with wide vines that aresimilar to sea­ weed. Its vines shake as it walks.,Tangela.png,65,55,115,100,40,60
115,Kangaskhan,22,800,['Normal'],The infant rarely ventures out of its mother'sprotective pouch until it is 3 years old.,Kangaskhan.png,105,95,80,40,80,90
116,Horsea,4,80,['Water'],Known to shoot down flying bugs with precisionblasts of ink from the surface of the water.,Horsea.png,30,40,70,70,25,60
117,Seadra,12,250,['Water'],Capable of swim­ ming backwards by rapidly flappingits wing-like pectoral fins and stout tail.,Seadra.png,55,65,95,95,45,85
118,Goldeen,6,150,['Water'],"Its tail fin billows like an elegant ballroomdress, giving it the nickname of the Water Queen.",Goldeen.png,45,67,60,35,50,63
119,Seaking,13,390,['Water'],"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks.",Seaking.png,80,92,65,65,80,68
120,Staryu,8,345,['Water'],"If its body is torn, it can grow back if the red core remains. The core flashes at midnight.",Staryu.png,30,45,55,70,55,85
121,Starmie,11,800,"['Water', 'Psychic']",Its central core glows with the seven colors ofthe rainbow. Some people value the core as a gem.,Starmie.png,60,75,85,100,85,115
122,Mr-mime,13,545,"['Psychic', 'Fairy']","If interrupted while it is miming, it willslap around the offender with its broad hands.",Mr-mime.png,40,45,65,100,120,90
123,Scyther,15,560,"['Bug', 'Flying']","With ninja-like agility and speed, it can create theillusion that there is more than one.",Scyther.png,70,110,80,55,80,105
124,Jynx,14,406,"['Ice', 'Psychic']",It seductively wiggles its hips as it walks. Itcan cause people to dance in unison with it.,Jynx.png,65,50,35,115,95,95
125,Electabuzz,11,300,['Electric'],"Normally found near power plants, they can wanderaway and cause major blackouts in cities.",Electabuzz.png,65,83,57,95,85,105
126,Magmar,13,445,['Fire'],Its body always burns with an orange glow thatenables it to hide perfectly among flames.,Magmar.png,65,95,57,100,85,93
127,Pinsir,15,550,['Bug'],"If it fails to crush the victim in its pincers,it will swing it around and toss it hard.",Pinsir.png,65,125,100,55,70,85
128,Tauros,14,884,['Normal'],"When it targets an enemy, it charges furiouslywhile whipping its body with its long tails.",Tauros.png,75,100,95,40,70,110
129,Magikarp,9,100,['Water'],"In the distant past, it was somewhat strongerthan the horribly weak descendants that exist today.",Magikarp.png,20,10,55,15,20,80
130,Gyarados,65,2350,"['Water', 'Flying']","Once it begins to rampage, a GYARADOS will burn everything down, even in a harsh storm.",Gyarados.png,95,125,79,60,100,81
131,Lapras,25,2200,"['Water', 'Ice']",A Pokémon that has been over­ hunted almost toextinction. It can ferry people across the water.,Lapras.png,130,85,80,85,95,60
132,Ditto,3,40,['Normal'],Capable of copying an enemy's genetic code to instantlytransform itself into a duplicate of the enemy.,Ditto.png,48,48,48,48,48,48
133,Eevee,3,65,['Normal'],Its genetic code is irregular. It may mutate ifit is exposed to radiation from element STONEs.,Eevee.png,55,55,50,45,65,55
134,Vaporeon,10,290,['Water'],Lives close to water. Its long tail is ridgedwith a fin which is often mistaken for a mermaid's.,Vaporeon.png,130,65,60,110,95,65
135,Jolteon,8,245,['Electric'],It accumulates negative ions in the atmosphere toblast out 10000- volt lightning bolts.,Jolteon.png,65,65,60,110,95,130
136,Flareon,9,250,['Fire'],"When storing thermal energy in its body, itstemperature could soar to over 1600 degrees.",Flareon.png,65,130,60,95,110,65
137,Porygon,8,365,['Normal'],A Pokémon that consists entirely of programmingcode. Capable of moving freely in cyberspace.,Porygon.png,65,60,70,85,75,40
138,Omanyte,4,75,"['Rock', 'Water']","Although long extinct, in rare cases, it can begenetically resurrected from fossils.",Omanyte.png,35,40,100,90,55,35
139,Omastar,10,350,"['Rock', 'Water']",A prehistoric Pokémon that died out when itsheavy shell made it impossible to catch prey.,Omastar.png,70,60,125,115,70,55
140,Kabuto,5,115,"['Rock', 'Water']",A Pokémon that was resurrected from a fossilfound in what was once the ocean floor eons ago.,Kabuto.png,30,80,90,55,45,55
141,Kabutops,13,405,"['Rock', 'Water']",Its sleek shape is perfect for swim­ ming. It slashesprey with its claws and drains the body fluids.,Kabutops.png,60,115,105,65,70,80
142,Aerodactyl,18,590,"['Rock', 'Flying']",A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.,Aerodactyl.png,80,105,65,60,75,130
143,Snorlax,21,4600,['Normal'],"Very lazy. Just eats and sleeps. As its rotundbulk builds, it becomes steadily more slothful.",Snorlax.png,160,110,65,65,110,30
144,Articuno,17,554,"['Ice', 'Flying']",A legendary bird Pokémon that is said to appear todoomed people who are lost in icy mountains.,Articuno.png,90,85,100,95,125,85
145,Zapdos,16,526,"['Electric', 'Flying']",A legendary bird Pokémon that is said to appearfrom clouds while dropping enormous lightning bolts.,Zapdos.png,90,90,85,125,90,100
146,Moltres,20,600,"['Fire', 'Flying']",Known as the legendary bird of fire. Every flapof its wings creates a dazzling flash of flames.,Moltres.png,90,100,90,125,85,90
147,Dratini,18,33,['Dragon'],Long considered a mythical Pokémon until recentlywhen a small colony was found living underwater.,Dratini.png,41,64,45,50,50,50
148,Dragonair,40,165,['Dragon'],A mystical Pokémon that exudes a gentle aura.Has the ability to change climate conditions.,Dragonair.png,61,84,65,70,70,70
149,Dragonite,22,2100,"['Dragon', 'Flying']",An extremely rarely seen marine Pokémon.Its intelligence is said to match that of humans.,Dragonite.png,91,134,95,100,100,80
150,Mewtwo,20,1220,['Psychic'],It was created by a scientist after years of horrificgene splicing and DNA engineering experiments.,Mewtwo.png,106,110,90,154,90,130
151,Mew,4,40,['Psychic'],So rare that it is still said to be a mirage bymany experts. Only a few people have seen it worldwide.,Mew.png,100,100,100,100,100,100
152,Chikorita,9,64,['Grass'],A sweet aroma gently wafts from the leaf on itshead. It is docile and loves to soak up the sun's rays.,Chikorita.png,45,49,65,49,65,45
153,Bayleef,12,158,['Grass'],"The scent of spices comes from around its neck.Somehow, sniffing it makes you want to fight.",Bayleef.png,60,62,80,63,80,60
154,Meganium,18,1005,['Grass'],The aroma that rises from its petals contains asubstance that calms aggressive feelings.,Meganium.png,80,82,100,83,100,80
155,Cyndaquil,5,79,['Fire'],"It has a timid nature. If it is startled, the flames on its back burn more vigorously.",Cyndaquil.png,39,52,43,60,50,65
156,Quilava,9,190,['Fire'],Be careful if it turns its back during battle. Itmeans that it will attack with the fire on its back.,Quilava.png,58,64,58,80,65,80
157,Typhlosion,17,795,['Fire'],"If its rage peaks, it becomes so hot that anything thattouches it will instantly go up in flames.",Typhlosion.png,78,84,78,109,85,100
158,Totodile,6,95,['Water'],Its well-developed jaws are powerful and capable ofcrushing anything. Even its trainer must be careful.,Totodile.png,50,65,64,44,48,43
159,Croconaw,11,250,['Water'],"If it loses a fang, a new one grows back in itsplace. There are always 48 fangs lining its mouth.",Croconaw.png,65,80,80,59,63,58
160,Feraligatr,23,888,['Water'],"When it bites with its massive and powerful jaws, itshakes its head and savagely tears its victim up.",Feraligatr.png,85,105,100,79,83,78
161,Sentret,8,60,['Normal'],"A very cautious Pokémon, it raises itself up usingits tail to get a better view of its surroundings.",Sentret.png,35,46,34,35,45,20
162,Furret,18,325,['Normal'],It makes a nest to suit its long and skinny body. Thenest is impossible for other Pokémon to enter.,Furret.png,85,76,64,45,55,90
163,Hoothoot,7,212,"['Normal', 'Flying']","It always stands on one foot. It changes feet sofast, the movement can rarely be seen.",Hoothoot.png,60,30,30,36,56,50
164,Noctowl,16,408,"['Normal', 'Flying']",Its eyes are specially adapted. They concentrateeven faint light and enable it to see in the dark.,Noctowl.png,100,50,50,86,96,70
165,Ledyba,10,108,"['Bug', 'Flying']",It is very timid. It will be afraid to move if it isalone. But it will be active if it is in a group.,Ledyba.png,40,20,30,40,80,55
166,Ledian,14,356,"['Bug', 'Flying']","When the stars flicker in the night sky, itflutters about, scattering a glowing powder.",Ledian.png,55,35,50,55,110,85
167,Spinarak,5,85,"['Bug', 'Poison']","It lies still in the same pose for days in its web,waiting for its unsuspecting prey to wander close.",Spinarak.png,40,60,40,40,40,30
168,Ariados,11,335,"['Bug', 'Poison']",It spins string not only from its rear but also fromits mouth. It is hard to tell which end is which.,Ariados.png,70,90,70,60,70,40
169,Crobat,18,750,"['Poison', 'Flying']",It flies so si­ lently through the dark on its fourwings that it may not be noticed even when nearby.,Crobat.png,85,90,80,70,80,130
170,Chinchou,5,120,"['Water', 'Electric']",Chinchou blink their shining antennae at one another to claim their respective turf.,Chinchou.png,75,38,38,56,56,67
171,Lanturn,12,225,"['Water', 'Electric']",The light it emits is so bright that it can illuminatethe sea's surface from a depth of over three miles.,Lanturn.png,125,58,58,76,76,67
172,Pichu,3,20,['Electric'],It is not yet skilled at storing electricity.It may send out a jolt if amused or startled.,Pichu.png,20,40,15,35,35,60
173,Cleffa,3,30,['Fairy'],"Because of its unusual, star-like silhouette, peoplebelieve that it came here on a meteor.",Cleffa.png,50,25,28,45,55,15
174,Igglybuff,3,10,"['Normal', 'Fairy']","It has a very soft body. If it starts to roll, it willbounce all over and be impossible to stop.",Igglybuff.png,90,30,15,40,20,15
175,Togepi,3,15,['Fairy'],The shell seems to be filled with joy. It is saidthat it will share good luck when treated kindly.,Togepi.png,35,20,65,40,65,20
176,Togetic,6,32,"['Fairy', 'Flying']","They say that it will appear before kindhearted, car­ing people and shower them with happiness.",Togetic.png,55,40,85,80,105,40
177,Natu,2,20,"['Psychic', 'Flying']","Because its wings aren't yet fully grown, it has tohop to get around. It is always star­ ing at something.",Natu.png,40,50,45,70,45,70
178,Xatu,15,150,"['Psychic', 'Flying']",They say that it stays still and quiet because itis seeing both the past and future at the same time.,Xatu.png,65,75,70,95,70,95
179,Mareep,6,78,['Electric'],"If static elec­ tricity builds in its body, itsfleece doubles in volume. Touching it will shock you.",Mareep.png,55,40,40,65,45,35
180,Flaaffy,8,133,['Electric'],"As a result of storing too much electricity, itdeveloped patches where even downy wool won't grow.",Flaaffy.png,70,55,55,80,60,45
181,Ampharos,14,615,['Electric'],The tail's tip shines brightly and can be seenfrom far away. It acts as a beacon for lost people.,Ampharos.png,90,75,85,115,90,55
182,Bellossom,4,58,['Grass'],"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.",Bellossom.png,75,80,95,90,100,50
183,Marill,4,85,"['Water', 'Fairy']","The tip of its tail, which con­ tains oil that islighter than wa­ ter, lets it swim without drowning.",Marill.png,70,20,50,20,50,40
184,Azumarill,8,285,"['Water', 'Fairy']",It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water.,Azumarill.png,100,50,80,60,80,50
185,Sudowoodo,12,380,['Rock'],"Although it always pretends to be a tree, its composi­tion appears to be closer to a rock than a plant.",Sudowoodo.png,70,100,115,30,65,30
