pokemon1,pokemon2,move,helper
Regigigas,Eternatus,"Best move would be to use Hammer Arm and Giga Impact + Giga Impact. You tank unless your Regigigas has unfavorable stats. In case of suboptimal stats, ensure you have a Pokémon in the back, like Arceus, Rayquaza, or Yveltal, capable of using a priority move or something faster than Eternatus.",btc3476
Regigigas,Ho Oh,"The best move would be to use two Giga Impact if you are jolly Regi. If you are adamant Regi, use Hammer + Giga Impact.",btc3476
Regigigas,Yveltal,"The best move would be to use Hammer and Giga Impact. Yveltal gets 2KOs, so no worries!",btc3476
Regigigas,Mega Metagross,"The best move would be to use Hammer if you think your opponent is adamant Metagross. If you feel like they are not, swap into a Pokémon like Groudon or Yveltal.",btc3476
Regigigas,Marshadow,"The best move would be to use Zen if you have it, or you can switch if you have a Giratina in the back.",btc3476
Regigigas,Flutter mane,"The best move would be to use Hammer and use Ice Punch/Fire Punch. If you have a Pokémon like Metagross in the back, it's recommended to do the 50/50 of Moonblast or Shadow Ball.",btc3476
Regigigas,Magearna,The best move would be to use Giga Impact twice or use Fire Punch twice if you have Fire Punch.,btc3476
Regigigas,Lunala,"The best move would be to use Knock Off. If you don't have Knock Off, it's recommended to switch onto a Yveltal or Rayquaza if you have one in the back.",btc3476
Regigigas,Slaking,"The best move would be to use Hammer and then Giga Impact. If you have priority, you win. If the opponent has priority, it's suggested to switch onto a Lunala/Giratina if you have them in the back.",btc3476
Regigigas,Koraidon,The best move would be to switch because Regi won't tank. Switch onto a Ghost type like Lunala/Giratina.,btc3476
Regigigas,Miraidon,"The best move would be to use Hammer and Giga Impact. It kills, so you're good!",btc3476
Kyogre,Mega Mewtwo Y,"The best move to use is Water Spout. Sadly, Water Spout doesn't OHKO, so prefer switching into a Yveltal if you have one. If you have an Arceus or Rayquaza mid, you can cover up the loss of Kyogre, as Water Spout + Extreme Speed kills Mega Mewtwo Y.",rahhla_coarster
Kyogre,Regigigas,"Best move to use is Water Spout. Water Spout doesn't OHKO, so you can choose to either switch into a Giratina if you have one in the back or Marshadow. Alternatively, you can choose to stay in and cover up the damage with a Pokémon with a priority move in the mid.",rahhla_coarster
Kyogre,Kyogre,"Best move to use is Water Spout + double edge. It's basically a mint game; the faster one wins. If both are Speed mints, the one who has priority wins.",rahhla_coarster
Kyogre,Zacian,Best move to use is Water Spout. You can choose to switch to a Metagross or Groudon in the back or choose to stay in and cover up the damage with an Arceus or Rayquaza with Extreme Speed in the middle.,rahhla_coarster
Kyogre,Rayquaza,"Best move to use is Ice Beam. It OHKOs, so all good.",rahhla_coarster
Kyogre,Giratina,"Best move to use is Ice Beam. Giratina might tank depending on mints. If timid Kyogre, it tanks; if modest sassy Giratina, it tanks. So, if you don't want to risk and have a Pokémon needing Kyogre for in the back, it's best if you switch into a Yveltal if you face a Giratina.",rahhla_coarster
Kyogre,Arceus,"The best move to use is two Water Spout. Kyogre tanks Arceus, so no worries!",rahhla_coarster
Kyogre,Groudon,"The best move to use is Water Spout. It's a game on who's faster; Groudon dies anyway, but mints make the decision on whether Kyogre takes damage before dying or not. If timid Kyogre and has priority, Kyogre always wins.",rahhla_coarster
Kyogre,Zamazenta,Best move to use is Water Spout. You can choose to cover up the damage with an Arceus or Rayquaza mid or switch if you have a Ghost type in the back like Giratina.,rahhla_coarster
Kyogre,Eternatus,"The best move to use is two Ice Beam. Eternatus gets 2KOed, so no worries!",rahhla_coarster
Kyogre,Ho Oh,"The best move to use is Water Spout. Kyogre wins no matter what, but mints decide whether Kyogre takes damage before dying. If you're max speed and timid mint and have priority, Kyogre always kills Ho Oh.",rahhla_coarster
Kyogre,Yveltal,The best move to use is Water Spout. You can choose to stay and kill with an Arceus/Rayquaza or just switch if you have a Magearna in the back.,rahhla_coarster
Kyogre,Mega Metagross,"The best move to use is Water Spout. If you are modest and the opponent is not careful, you kill. If you're timid and Meta is bad, you still kill. Kyogre won't die no matter what to Meta, so no worries!",rahhla_coarster
Kyogre,Marshadow,"The best move to use is Water Spout. You OHKO, so no worries!",rahhla_coarster
Kyogre,Flutter mane,"The best move to use is Water Spout. It 2KOs, so no worries!",rahhla_coarster
Kyogre,Magearna,"The best move to use is Water Spout. It 2KOs, so no worries! If you switched in Kyogre on Fleur, the best move is Aqua Tail.",rahhla_coarster
Kyogre,Lunala,"The best move to use is Water Spout. It 2KOs, so no worries!",rahhla_coarster
Kyogre,Slaking,"The best move to use is Water Spout. It OHKOs unless it's a 31/31 Slaking. It tanks if it's a 31 HP 31 SpDef Slaking, and hence Slaking wins. You can cover up the damage with an Arceus/Ray middle.",rahhla_coarster
Kyogre,Koraidon,"The best move to use is Ice Beam. Koraidon tanks and 2KOs, so if you have something like Lunala, it's best to switch on turn 1.",rahhla_coarster
Kyogre,Miraidon,"The best move to use is Ice Beam. Miraidon kills Kyogre anyway, so make sure to have something to cover up the damage, or you can switch in a Groudon on the opposing Thunder of Miraidon.",rahhla_coarster
Zacian,Mega Mewtwo Y,"The best move to use is Crunch if you have it or Giga Impact. It's recommended to switch into a Yveltal in the back, and Mega Mewtwo Y outspeeds Zacian. You can only win if you're timid/jolly and the opponent is modest/bold.",rahhla_coarster
Zacian,Regigigas,"The best move to use is two Close Combat. It tanks Hammer + Giga, so no worries!",rahhla_coarster
Zacian,Kyogre,"The best move to use is Close Combat + Giga Impact. Bold Kyogre can tank it, but it kills others, so no worries!",rahhla_coarster
Zacian,Zacian,"Best move to use is Close Combat + Giga + Giga. Faster Zacian wins. If both are the same speed and have a Speed mint, priority wins.",rahhla_coarster
Zacian,Rayquaza,"The best move is to use two Moonblast if you're modest; otherwise, use Close Combat + Moonblast.",rahhla_coarster
Zacian,Giratina,"The best move is to switch into a Pokémon like Yveltal because Giratina tanks 3 Moonblasts and would kill Zacian. But if you choose to stay in and cover up the damage with the middle Pokémon, use triple Moonblast if you survive to the third turn.",rahhla_coarster
Zacian,Arceus,"The best move is two Close Combat. You tank if it's a good Zacian, so no worries!",rahhla_coarster
Zacian,Groudon,"The best move to use is Close Combat. It's preferred to switch into a Pokémon like Rayquaza if you have it, as Zacian gets 2KOed by Groudon and can't deal more damage. Alternatively, you can decide to cover up the damage with a Rayquaza/Arcanine in the middle.",rahhla_coarster
Zacian,Zamazenta,"Best move to use is Close Combat + Moonblast. Zacian wins no matter what, so no worries.",rahhla_coarster
Zacian,Eternatus,"The best move to use is Close Combat + Giga Impact. You can choose to switch into a Kyogre if you have it in the back, or you can decide to cover up damage with an Extreme Speed from Ray/Arcanine.",rahhla_coarster
Zacian,Ho Oh,"The best move to use is Close Combat + Giga Impact. It leaves Ho Oh at low HP, so you can cover up the damage with a Rayquaza or Arcanine or any Pokémon that is faster than Ho Oh. Alternatively, you can choose to switch into a Pokémon like Rayquaza if you want to save Zacian.",rahhla_coarster
Zacian,Yveltal,"The best move to use is Close Combat + Moonblast. Yveltal tanks unless it's a modest Zacian, so make sure you have a Pokémon like Arceus/Rayquaza to cover up the damage.",rahhla_coarster
Zacian,Mega Metagross,"The best move to use is Close Combat. It's suggested to switch into a Groudon or Kyogre or Yveltal if you have one, as Metagross only takes 1 Close Combat and kills Zacian. You can also choose to stay in and cover up the damage with a Rayquaza/Speed mint Arceus/Yveltal so you can stay in without taking much damage on the middle Pokémon.",rahhla_coarster
Zacian,Marshadow,"The best move to use is two Moonblast. It kills, so no worries!",rahhla_coarster
Zacian,Flutter mane,"The best move to use is Moonblast. It's recommended to switch as Flutter hard counters Zacian as long as Zacian doesn't have Iron Head in the moveset. Switch into a Pokémon like Kyogre. Alternatively, you can cover up the damage by using two Moonblast or Close Combat + Moonblast and have a Pokémon like Yveltal in the mid to use Sucker Punch and kill the Flutter.",rahhla_coarster
Zacian,Magearna,"The best move to use is two Close Combat. It leaves Magnezone at low HP, as Magnezone isn't fast; any Pokémon will do the deed. You can also switch onto a Metagross if you have one and feel like you need to save Zacian for another Pokémon in the matchup.",rahhla_coarster
Zacian,Lunala,"The best move to use would be two Crunch. If you don't have Crunch, it's recommended to switch into a Rayquaza/Yveltal if you have one.",rahhla_coarster
Zacian,Slaking,"Best move to use would be two Close Combat. It kills, so no worries!",rahhla_coarster
Zacian,Koraidon,"The best move to use would be Moonblast. It KOs, so no worries! If you're -Special Attack mint, it might tank, but you still 2KO.",rahhla_coarster
Zacian,Miraidon,"The best move to use would be Moonblast + Close Combat + Giga Impact. If you outspeed opponent Miraidon, you win. If you think you would get outsped, the best move would be Close Combat + Giga. Or you can just catch a Thunder/Overheat on a Groudon in the back.",rahhla_coarster
Rayquaza,Mega Mewtwo Y,"The best move would be Outrage + Extreme Speed. It kills, so no worries!",rahhla_coarster
Rayquaza,Regigigas,"The optimal move is Ice Punch. If you suspect that Rayquaza might be impish, you have the option to use Hammer Arm followed by Ice Punch. Alternatively, you can choose Ice Punch directly if you believe Regigigas won't withstand it, then mitigate any damage with an Arceus/Rayquaza in the middle.",rahhla_coarster
Rayquaza,Kyogre,"The best move would be Outrage. It leaves Kyogre at 50-60 HP, so you can have something in the back faster than Kyogre to cover up damage. Or if you feel like you need to save Rayquaza, you can just switch into a Pokémon like Arceus/Yveltal to do some chip damage so that Outrage can OHKO.",rahhla_coarster
Rayquaza,Zacian,"The best move to use would be Hurricane + Extreme Speed. You can tank Timid Zacian with careful mint and 26+ SpDef and 27+ HP. You lose no matter what to Modest Zacian. You tank Jolly and Adamant Zacian with good stats. If you tank, use two Hurricane; if you don't tank, use Hurricane + Extreme Speed. Make sure to have something like Arcanine/Metagross in the back to cover up the damage. You can also switch into a Pokémon like Groudon or Metagross if you want to save Rayquaza.",rahhla_coarster
Rayquaza,Rayquaza,"The best move to use is Outrage. The faster Ray wins. If both max speed and +Speed mint, then priority wins.",rahhla_coarster
Rayquaza,Giratina,"The best move to use is Outrage. Outrage 2KOs, so no worries!",rahhla_coarster
Rayquaza,Arceus,"The best move to use is Outrage. If Modest Arceus and you are Jolly and a good Rayquaza, two Outrage kills. If you are Adamant, the best move is Outrage + Extreme Speed. If you are Jolly and the opponent is Rash Arceus, you lose. If both are Speed mint, you lose. You can manage to cover up the damage by using an Arceus mid with priority. If non-priority, recommended to switch into a Lunala if you have one or a Metagross.",rahhla_coarster
Rayquaza,Groudon,"The best move is Hurricane. Hurricane 2KOs, so no worries!",rahhla_coarster
Rayquaza,Zamazenta,"The best move is Hurricane. It 2KOs, so no worries!",rahhla_coarster
Rayquaza,Eternatus,"The best move is Outrage. You tank if 31+ HP and 29+ SpDef and the opponent is Timid Eternatus. If Modest Eternatus, you need careful mint with the stats to tank.",rahhla_coarster
Rayquaza,Ho Oh,"The best move is two Outrage. It kills, so no worries!",rahhla_coarster
Rayquaza,Yveltal,"The best move is Outrage. Outrage + Outrage if the opponent is Jolly. Outrage + Extreme Speed if the opponent is Adamant. If you are Adamant too, use Outrage + Extreme to kill. Make sure to have a priority move Pokémon in mid!",rahhla_coarster
Rayquaza,Mega Metagross,"The best move is two Crunch. If Metagross tanks, use two Crunch + Extreme Speed! It kills, so no worries!",rahhla_coarster
Rayquaza,Marshadow,"The best move is Hurricane. It kills, so no worries!",rahhla_coarster
Rayquaza,Flutter mane,"The best move is Fly. If you don't have Fly, it's suggested to switch onto any other Pokémon like Kyogre.",rahhla_coarster
Rayquaza,Magearna,The best move is Hurricane. Suggested to switch into Groudon/Kyogre/Metagross because Magearna OHKOs and Hurricane does like 80 damage only.,rahhla_coarster
Rayquaza,Lunala,"The best move to use is Crunch. It OHKOs, so no worries!",rahhla_coarster
Rayquaza,Slaking,"The best move to use is Outrage! It 2KOs, so no worries.",rahhla_coarster
Rayquaza,Koraidon,"The best move to use is Extreme Speed. Suggested to switch into something like a Magearna if you have one or like a Metagross. It's a 50/50 if the opponent will do Close Combat or Outrage, so you have to risk it or let Ray die. Koraidon outspeeds almost everything, so it's best to do the 50/50 than to stay in.",rahhla_coarster
Rayquaza,Miraidon,"The best move to use is Outrage. It kills, so no worries!",rahhla_coarster
Giratina,Mega Mewtwo Y,The best move would be to use Shadow Force; it kills. But use Shadow Sneak if Mega Mewtwo Y is already damaged.,btc3476
Giratina,Regigigas,The best move would be to use Aura Sphere; it 3KOs and kills if your Giratina is good.,btc3476
Giratina,Kyogre,"The best move would be to use 2x Shadow Force and Sneak if Timid Kyogre/Bold; otherwise, use Shadow Force and Shadow Sneak if Modest Kyogre.",btc3476
Giratina,Zacian,The best move would be to use Shadow Force twice and Sneak; it kills if your Giratina tanks 3 Moonblasts.,btc3476
Giratina,Rayquaza,"The best move would be to use Dragon Claw and Sneak or Shadow Force and Sneak depending on your moveset, but it is better to switch to something like Magnezone or Mega Evolution.",btc3476
Giratina,Giratina,The best move would be to use 2x Shadow Force; it kills if you're faster.,btc3476
Giratina,Arceus,The best move would be to use Aura Sphere 4x; it kills.,btc3476
Giratina,Groudon,"The best move would be to use Earth Power twice and Sneak; it kills. But if you run Dragon Claw, you should switch to Rayquaza or use Shadow Force 2x and Sneak.",btc3476
Giratina,Zamazenta,The best move would be to use Shadow Force 2x; it kills.,btc3476
Giratina,Eternatus,The best move would be to use Dragon Claw and Shadow Sneak; it doesn't kill but does a lot of damage.,btc3476
Giratina,Ho Oh,The best move would be to use 2x Shadow Force and Sneak; it doesn't kill but does a lot of damage.,btc3476
Giratina,Yveltal,"The best move would be to use Dragon Claw twice and Sneak or Shadow Force twice and Sneak if you run Earth Power, but it's better to switch to Magnezone or a Fairy.",btc3476
Giratina,Mega Metagross,The best move would be to use Shadow Force 2x; it kills.,btc3476
Giratina,Marshadow,The best move would be to use Shadow Force; it kills 1KO.,btc3476
Giratina,Flutter mane,The best move would be to use Shadow Force; it kills 1KO.,btc3476
Giratina,Magearna,"The best move would be to use 2x Shadow Force; it does around 260 in total, but it's better to switch to something like Metagross.",btc3476
Giratina,Lunala,"The best move would be to use Shadow Force; it kills 1KO. Or else, if the Lunala is already damaged, use Sneak.",btc3476
Giratina,Slaking,The best move would be to use Aura Sphere 3x; it kills.,btc3476
Giratina,Koraidon,The best move would be to use Dragon Claw and Sneak; it doesn't kill but does a lot of damage.,btc3476
Giratina,Miraidon,"The best move would be to use Dragon Claw and Sneak if he's modest; otherwise, use 2x Dragon Claw.",btc3476
Arceus,Mega Mewtwo Y,"The optimal move to use is Hyper Beam + Extreme Speed. You win as long as Mega Mewtwo Y isn't careful/bold. Rash Arceus is tanked by extremely good Mega Mewtwo Ys and by careful/bold Mega Mewtwo Ys. Mega Mewtwo Y tanks Timid and Naive Arceus. So if you need Arceus for something in the back, the best option is to switch into a Yveltal if you have one.",rahhla_coarster
Arceus,Regigigas,"The best move is to use Hyper Beam + Extreme Speed. You always lose to decent Regigigas. So if you have a Giratina in the back, it's best to switch into it if you have to save Arceus for the rest of the matchup. Or you can cover up the damage with a Pokémon with a priority move as Regigigas will be left with very low HP.",rahhla_coarster
Arceus,Kyogre,"The best move to use is two Hyper Beam. Kyogre tanks Arc and kills Arc. So, if you want to save Arc with full HP, switch to a Pokémon like Yveltal/Zacian/Zamazenta/Regigigas if you want to kill Kyogre without taking damage. Or you can cover up the damage by using something faster than Kyogre or something with a priority move like Arceus/Rayquaza/Yveltal in the middle.",rahhla_coarster
Arceus,Zacian,"The best move to use is Hyper Beam + Extreme Speed. Good Zacians always tank and 2KOs Arceus, so make sure to have something in the middle that can kill the low HP Zacian after it takes Hyper and Extreme from Arceus. You can also choose to switch into a Metagross/Groudon in the back if you want to save Arceus.",rahhla_coarster
Arceus,Rayquaza,"The best move to use is two Hyper Beam if you are speed mint. If you are not speed mint and the opponent is speed mint, you use Hyper + Extreme. If Modest, some extremely good Rays tank; others won't. If Rash Arceus, Rayquaza can't tank. If both speed mint, Arceus wins by 2 Hyper.",rahhla_coarster
Arceus,Giratina,The best move to use is Future Sight. Rash Arceus always dies to Giratina. Modest Arceus kills non-Sassy Giratina. Arceus always loses to Sassy Giratina no matter mints. Switching to Yveltal is the best option if you come across Giratina and want to save Arceus for any other Pokémon.,rahhla_coarster
Arceus,Arceus,"The best move is Hyper Beam. If you are modest mint and have 30 HP, 29 SpDef, or more, you can tank opposing Timid/Naive Arceus. If both are modest, Arceus priority wins. If both Rash, priority wins. If both Timid/Naive, priority wins. Modest with 30 HP, 29 SpDef always kills Timid/Naive Arceus irrespective of priority.",rahhla_coarster
Arceus,Groudon,"The best move is Hyper Beam + Extreme Speed. If you are Rash with good SpAtk and Atk and the opponent isn't calm/careful/bold, you win. If you are modest, you kill Groudon unless it's 29+ HP, 28+ SpDef, and 28+ stats. If you want to save Arceus, switch into a Rayquaza.",rahhla_coarster
Arceus,Zamazenta,"The best move is Future Sight + Extreme Speed. It kills, so no worries!",rahhla_coarster
Arceus,Eternatus,"The best move is two Future Sight or Future Sight + Hyper Beam. It kills, so no worries!",rahhla_coarster
Arceus,Ho Oh,"The best move is two Hyper Beam. Ho Oh tanks unless bad Ho Oh, so make sure to have something in the back that is faster than Ho Oh and cover up that damage.",rahhla_coarster
Arceus,Yveltal,"The best move is two Hyper Beam. It kills, so no worries.",rahhla_coarster
Arceus,Mega Metagross,"The best move is Earth Power. Arceus dies to Metagross unless Metagross is Jolly and Arceus is Bold. So the best option would be to switch into something like Giratina/Lunala/Yveltal/Rayquaza/Groudon if you have them, and then the moves of that + Earth Power kills Metagross. Or you can choose to cover up that damage by having a Yveltal/Speed Mint Rayquaza in the middle.",rahhla_coarster
Arceus,Marshadow,"The best move is Future Sight. Marshadow 2KOs Arceus, so it's suggested to switch into something like Giratina to keep Arceus alive. Or cover up the damage with a Yveltal in the back.",rahhla_coarster
Arceus,Flutter mane,"The best move is Future Sight. Flutter Mane defeats Arceus regardless, making it challenging to switch into any move. Cover up the damage by having Yveltal in the back, as Earth Power + Earth Power + Earth Power + Sucker Punch secures the knockout against Flutter Mane.",rahhla_coarster
Arceus,Magearna,The best move would be triple Earth Power. Magearna tanks as long as you don't get a drop. It is recommended to switch into a Metagross/Groudon to save Arceus for other Pokémon.,rahhla_coarster
Arceus,Lunala,The best move would be triple Earth Power. You lose as long as you don't get 2 drops. Recommended to switch into a Yveltal/Rayquaza.,rahhla_coarster
Arceus,Slaking,"The best move would be Hyper Beam + Extreme Speed. Slaking tanks no matter mints, so you can choose to cover up the damage by having a Rayquaza in the middle, or you can choose to switch into a Giratina/Metagross/Groudon if you have one to do chip damage and kill with Hyper Beam.",rahhla_coarster
Arceus,Koraidon,"The best move would be Future Sight + Extreme Speed. Koraidon tanks every Arceus except Rash Arceus, but Koraidon can tank Rash Arceus with good stats like 25+ HP, Def, and SpDef. So it is recommended to switch into something like Lunala if you have one, or you can stay in and cover up the damage with a Rayquaza/Metagross in the middle, as Koraidon has around 40-50 HP after Future + Extreme.",rahhla_coarster
Arceus,Miraidon,The best move would be Triple Extreme Speed. You lose if the opponent is Modest Miraidon. You can win if you are 25+ Atk Rash Arceus and the opponent is Timid Miraidon.,rahhla_coarster
Groudon,Mega Mewtwo Y,"The best move to use is Hammer Arm + Precipice Blades; it will kill if you're speed mint, but if the opponent is bold/calm, you can switch to Yveltal or Metagross at the end.",btc3476
Groudon,Regigigas,"The best move to use is 2x Hammer Arm; it kills, but if the opponent's Regigigas is bold, you do Hammer Arm and Eruption.",btc3476
Groudon,Kyogre,"The best move to do will be Precipice Blades if you are speed mint and have priority. If you don't have priority and know your opponent is speed mint and you are not, you can switch to Metagross or Regigigas and Hammer Arm it so that Groudon will become faster and outspeed.",btc3476
Groudon,Zacian,"The best move to do would be Mud Shot and Eruption; it kills, so keep it. But if you want to save your Groudon for Metagross/Magearna, switch to Metagross if you have it.",btc3476
Groudon,Rayquaza,"The best move to do would be Hammer Arm and Eruption, but Rayquaza kills it. So, you should keep a Mega Metagross or Magearna with Groudon so you can switch to it when Rayquaza faces Groudon.",btc3476
Groudon,Giratina,"The best move to do would be Precipice Blades 3x, but Giratina kills it by 3x Earth Power. So, it's better to switch to Yveltal or Rayquaza and save Groudon.",btc3476
Groudon,Arceus,"The best move to do will be Hammer Arm 2x; it kills, but if the opponent is bold with good defense and HP, you should do Hammer Arm and Eruption.",btc3476
Groudon,Groudon,"The best move to do would be Earth Power, but if you don't have that in your moveset, do Mud Shot and Precipice Blades. If you don't have priority, better switch to Rayquaza.",btc3476
Groudon,Zamazenta,"The best move to do would be Mud Shot and Eruption; it kills, but if it's impish/careful and you want to save Groudon, you can switch to a Pokemon like Rayquaza, as Rayquaza tanks Close Combat + Moonblast from Zamazenta.",btc3476
Groudon,Eternatus,"The best move to do would be Precipice Blades, but if it is impish Eternatus, try to use Hammer Arm and Precipice Blades (only if you're timid/jolly).",btc3476
Groudon,Ho Oh,"The best move to use will be Hammer Arm and Ancient Power 2x; it kills. But if you don't have Ancient Power in your moveset, use Hammer and Eruption spam, or just switch to a Pokemon like Kyogre, only if you're priority and speed mint.",btc3476
Groudon,Yveltal,"The best move to do will be Hammer Arm and Eruption; it kills. But if the Yveltal is adamant or brave mint, you should always two Eruption as you're faster already.",btc3476
Groudon,Mega Metagross,"The best move to do will be Eruption; it 1KOs, so just keep Groudon against it. But if you want to be safer to avoid switches, you can 2x Mud Shot; it kills too.",btc3476
Groudon,Marshadow,"The best move to do will be Mud Shot and Eruption; but if you are modest Groudon, just Eruption. Keep Groudon against Marshadow.",btc3476
Groudon,Flutter mane,"The best move to do will be Precipice Blades; it 1KOs, so just keep it. But if you want to save Groudon, you can switch to Giratina (only if you know he isn't modest Flutter Mane).",btc3476
Groudon,Magearna,"The best move to do will be Eruption; as it 1KOs, keep it, and as it's faster, it doesn't take any damage too.",btc3476
Groudon,Lunala,"The best move to do will be Mud Shot and Precipice Blades 2x; but if you have a Yveltal or a Rayquaza, go for the switch.",btc3476
Groudon,Slaking,"The best move to do is 2x Hammer Arm; but if you want to be safe and avoid switches, just Hammer Arm and Eruption; it kills.",btc3476
Groudon,Koraidon,The best move to do will be Mud Shot and Precipice Blades twice; it kills.,btc3476
Groudon,Miraidon,"The best move to do will be Precipice Blades; it 1KOs, but to avoid switches, you can do Hammer Arm and Precipice Blades (only if you're timid/jolly).",btc3476
Zamazenta,Mega Mewtwo Y,"Best move is Crunch, but Mega Mewtwo Y outspeeds and one-shots by Future Sight, so a better suggestion is to switch to Yveltal/Lunala/Metagross.",neon_6969
Zamazenta,Regigigas,Best move is Close Combat. Adamant Zamazenta OHKOs Regigigas using Close Combat. Jolly Zamazenta doesn't OHKO; you need to do Close Combat + Quick Attack / Giga Impact.,neon_6969
Zamazenta,Kyogre,Best move is Close Combat. Spam Adamant/Jolly Zamazenta doesn't matter; it 2 shots Kyo.,neon_6969
Zamazenta,Zacian,"Best move is Close Combat + Iron Head. It depends on prio; if you are prio, then Jolly kills using Close Combat + Iron against Timid/Mod Zac. If you are non-prio and the opponent is Timid Zac, you are preferred to switch to Metagross/Magearna/Eternatus.",neon_6969
